Video title,Video link,Post time,Video views,Likes,Comments,Shares,Add to Favorites
WHAT do we think about these cateye stained glass nailsss #ringday #aggie #tamu,https://www.tiktok.com/@made2polish/video/7488947005113240874,2025/04/03 5:00:14,50,4,1,0,0
first client video recording :)  #nailinspo,https://www.tiktok.com/@made2polish/video/7483563687773605163,2025/03/19 16:49:27,2237,71,1,2,0
results posted!! decided to do them in pink to match my event coming up #creatorsearchinsights #nails #extra,https://www.tiktok.com/@made2polish/video/7478451289538530602,2025/03/05 22:11:03,455,26,0,0,3
tropical set for spring breakkkkk,https://www.tiktok.com/@made2polish/video/7478108944402074922,2025/03/05 0:02:35,231,12,3,0,1
Switching aesthetic like BAM  • #3DNailArt #PinkFloralNails #SculptedNails #PearlAccents #HandPaintedFlowers #LuxuryNails #IntricateDesign #NailAesthetic #Made2Polish #FairyCoreNails #EtherealNailArt #StatementNails #FloralFantasy #DreamyNailDesign #GlamNails #HandcraftedBeauty #NailJewelry #AlmondNails #ShinyAndChic #softglamnails,https://www.tiktok.com/@made2polish/video/7477677031891750186,2025/03/03 20:06:41,518,42,5,0,1
Cstat Texas nail tech 🥰 #CStatNails #CollegeStationNailTech #AggieNails #TexasNailTech #Made2Polish #PressOnNails #CustomNails #NailArtist #NailSets #NailInspo #NailTechLife #NailBusiness #NailContent #BeautyTok #NailTrends #NailArtistry #NailDesigns #ManicureMagic #SupportSmallBusiness #LuxuryNails #TrendyNails,https://www.tiktok.com/@made2polish/video/7475952111084195118,2025/02/27 4:32:54,424,27,2,0,1
THEY'RE BEAUTIFUL,https://www.tiktok.com/@made2polish/video/7475263075923529006,2025/02/25 8:00:50,391,21,1,0,1
These are most definitely my absolute favorite set ever  @katie.meadowss  #gelx #nailtech #structuregel #princessnails #nailinspo,https://www.tiktok.com/@made2polish/video/7475250774327577899,2025/02/25 7:12:16,819,43,0,0,1
This one was the most difficult to figure out but I'm glad I got it now 😋😋 #cateye #heart #nailtrend #cateyeheart #nailhackn #howto #vday,https://www.tiktok.com/@made2polish/video/7472829629007433002,2025/02/18 18:36:09,1140,68,1,2,7
Up on my Etsy super soon 😍😋 #nails #nailsnailsnails #nailtech #nailsofinstagram #naildesign #nailaddict #nailjunkie #nailart #nailswag,https://www.tiktok.com/@made2polish/video/7469847719176064298,2025/02/10 17:45:24,983,82,9,1,13
#stitch with @Dani And that's after 3 weeks of growth 😍😋 #cateye #trend #nails #heart #magnetic #cutenails,https://www.tiktok.com/@made2polish/video/7468284628130942254,2025/02/06 12:39:38,165,7,0,1,0
